ParentPath,FileName,FileSize
.\Program Files (x86)\Internet Explorer\ko-KR,ieinstal.exe.mui,2560
.\Program Files (x86)\Internet Explorer\ko-KR,iexplore.exe.mui,5120
.\Program Files (x86)\Internet Explorer\SIGNUP,install.ins,452
.\Program Files (x86)\Internet Explorer,sqmapi.dll,40232
.\Program Files (x86)\Microsoft.NET\RedistList,AssemblyList_4_client.xml,15715
.\Program Files (x86)\Microsoft.NET\RedistList,AssemblyList_4_extended.xml,8220
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,92.0.902.67.manifest,222
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\BHO,ie_to_edge_bho.dll,406928
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\BHO,ie_to_edge_bho_64.dll,522648
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\BHO,ie_to_edge_stub.exe,480656
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,concrt140.dll,318256
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,cookie_exporter.exe,100240
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,d3dcompiler_47.dll,4355248
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,dual_engine_adapter_x64.dll,3109168
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\EBWebView\x64,EmbeddedBrowserWebView.dll,3915152
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\EBWebView\x86,EmbeddedBrowserWebView.dll,2917264
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,Edge.dat,12288
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,EdgeWebView.dat,8192
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,elevation_service.exe,1640352
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,eventlog_provider.dll,14752
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Extensions,external_extensions.json,99
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,icudtl.dat,12005472
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,identity_helper.exe,1098128
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,identity_helper.exe.manifest,1449
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,beta.identity_helper.exe.manifest,1447
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,canary.identity_helper.exe.manifest,1449
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,dev.identity_helper.exe.manifest,1446
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,identity_helper.Sparse.Beta.msix,53502
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,identity_helper.Sparse.Canary.msix,53472
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,identity_helper.Sparse.Dev.msix,52879
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,identity_helper.Sparse.Internal.msix,56803
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,identity_helper.Sparse.Stable.msix,56782
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,internal.identity_helper.exe.manifest,1451
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,resources.pri,3744
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\identity_proxy,stable.identity_helper.exe.manifest,1449
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Installer,msedge_7z.data,3522
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Installer,setup.exe,3736976
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,learning_tools.dll,1089952
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,libEGL.dll,447840
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,libGLESv2.dll,6523208
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,libsmartscreen.dll,3818400
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,af.pak,444483
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,am.pak,653994
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ar.pak,678622
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,as.pak,964528
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,az.pak,504339
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,bg.pak,763915
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,bn-IN.pak,998637
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,bs.pak,476369
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ca-Es-VALENCIA.pak,483410
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ca.pak,486171
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,cs.pak,500593
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,cy.pak,491384
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,da.pak,441393
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,de.pak,493356
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,el.pak,854447
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,en-GB.pak,401426
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,en-US.pak,394948
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,es-419.pak,478949
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,es.pak,480528
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,et.pak,434504
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,eu.pak,452668
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,fa.pak,684481
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,fi.pak,457559
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,fil.pak,492048
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,fr-CA.pak,513703
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,fr.pak,513284
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ga.pak,533234
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,gd.pak,554591
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,gl.pak,469838
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,gu.pak,942191
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,he.pak,572632
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,hi.pak,953417
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,hr.pak,478916
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,hu.pak,509866
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,id.pak,426171
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,is.pak,464506
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,it.pak,472749
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ja.pak,576024
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ka.pak,1055395
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,kk.pak,749997
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,km.pak,1020730
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,kn.pak,1054579
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ko.pak,477297
